title;description
Space Wars;A young farm boy discovers his destiny as a space warrior. Accompanied by an old knight, a loyal robot droid, and a courageous rebel, he journeys through space adventures and fights against a tyrannical empire. Spectacular space battles and the power of the Jedi define this epic space saga.
Welcome to the real world;A computer hacker discovers a terrifying truth: the reality he knows is a simulated virtual world. Machines and robots have enslaved humanity and use it as an energy source. As the chosen one, he fights against the machine world and must overcome the limitations of the simulation.
Limbus;An industrial espionage specialist infiltrates the dreams and subconscious of his victims to steal secret information. His latest assignment isn't to steal an idea, but to plant one. He delves deeper into nested dream levels as he tries to return to his family.
The Ice Princess;A courageous princess embarks on a perilous adventure through a winter landscape of ice and snow to rescue her sister, who has escaped the kingdom using ice magic. With the help of a cheerful snowman and a brave miner, she battles the cold and loneliness.
The King of the Jungle;In the vast savannas of Africa, a young lion prince grows up, only to flee into exile after his father's death. Tormented by guilt and shame, he must face his destiny and free the animal kingdom from the clutches of his evil uncle. A story of courage, responsibility, and animals.
A master chef on four legs;An exceptionally talented rat dreams of becoming a famous chef and cooking healthy food. In the kitchens of a renowned Parisian restaurant, she creates delicious dishes. Together with a kitchen boy, she delights even the city's toughest restaurant critic with her tasty meals.
Tidal Park;An eccentric billionaire creates a theme park with cloned dinosaurs on a tropical island. When the security system fails, the prehistoric giant reptiles escape. Scientists and visitors fight for survival against Tyrannosaurus Rex and dangerous Velociraptors on the island.
Beyond the Stars;Earth is slowly dying. A former astronaut and space pilot travels through a wormhole to distant galaxies and stars in search of a new home planet for humanity. He experiences time distortion near a black hole and struggles to maintain contact with his family.
Ring Hero;A small hobbit from the Shire is given a dangerous task: to destroy the most powerful ring, belonging to the dark lord Sauron. With a company of elves, dwarves, and men, he fights his way through the fantasy world of Middle-earth, past orcs, trolls, and sinister magical creatures.
The family;The aging patriarch of a powerful mafia organization hands over the reins to his youngest son, who originally wanted to lead an honorable life away from organized crime and criminal activities. A drama about loyalty, betrayal, murder, and the high price of power and family.
The Rise;An unknown amateur boxer from Philadelphia receives an unexpected opportunity: He is to fight the reigning heavyweight boxing champion of the world. Through hard training, sport, unwavering willpower, and the support of his girlfriend, he fights his way to the top of the boxing world.
A journey on ice to ruin;On board the supposedly unsinkable luxury liner, a penniless young artist falls in love with a wealthy heiress. Their forbidden romance blossoms on the Atlantic before the ship collides with a massive iceberg and sinks into the icy depths of the ocean along with its passengers.
